title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Automl-agent: A multi-agent llm framework for full-pipeline automl,P Trirat; W Jeong; SJ Hwang,2024,arXiv preprint arXiv:2410.02958,"retrieval phase, if the dataset is not directly supplied by the user, we initiate an API call to  search for potential datasets in repositories, such as HuggingFace and Kaggle, using the",https://arxiv.org/abs/2410.02958,https://arxiv.org/pdf/2410.02958,82,"/scholar?cites=12685209538458002726&as_sdt=5,33&sciodt=0,33&hl=en"
An empirical study on llm-based agents for automated bug fixing,X Meng; Z Ma; P Gao; C Peng,2024,arXiv preprint arXiv:2411.10213,"The tool design in Honeycomb is relatively simple, streamlining the decision-making process  for LLM tool usage, but it may result in the system being unable to obtain more accurate",https://arxiv.org/abs/2411.10213,https://arxiv.org/pdf/2411.10213?,24,"/scholar?cites=10299644110880997807&as_sdt=5,33&sciodt=0,33&hl=en"
Building LLM Powered Applications: Create intelligent apps and agents with large language models,V Alto,2024,NA,Note that RAG is not the only architectural pattern that can feature a copilot: there are further  frameworks such as function calling or multi-agents that we will explore throughout the book,https://books.google.com/books?hl=en&lr=&id=P1oIEQAAQBAJ&oi=fnd&pg=PP1&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22language+model%22)+AND+(%22agent%22+OR+%22agents%22+OR+%22tool+use%22)+AND+(%22API%22+OR+%22tool%22+OR+%22external+tools%22+OR+%22function+calling%22+OR+%22code+execution%22)&ots=Ck0kx9fEHz&sig=crR14vGlLivXoZc5LSvrkVJavfk,,44,"/scholar?cites=3207449459568299510&as_sdt=5,33&sciodt=0,33&hl=en"
Agent-as-a-judge: Evaluate agents with agents,M Zhuge; C Zhao; D Ashley; W Wang,2024,arXiv preprint arXiv …,"We compare this to LLM-as-a-Judge, which uses LLMs to evaluate LLMs and for which  Agent-as 2022) provide frameworks for single-agent systems that leverage external tools for more",https://arxiv.org/abs/2410.10934,https://arxiv.org/pdf/2410.10934?,152,"/scholar?cites=17988879340922430444&as_sdt=5,33&sciodt=0,33&hl=en"
FinToolBench: Evaluating LLM Agents for Real-World Financial Tool Use,J Lu; K Wang; Y Wang; Q Tang; H Zeng; X Chen,2026,arXiv preprint arXiv …,", tool-required queries. We propose a novel evaluation framework that goes beyond binary  execution success, assessing agents on  Furthermore, we present FATR, a finance-aware tool",https://arxiv.org/abs/2603.08262,,0,
Crab: Cross-environment agent benchmark for multimodal language model agents,T Xu; L Chen; DJ Wu; Y Chen; Z Zhang,2025,Findings of the …,"for our agents. Specifically, We use function calling feature in the four commercial models  and JSON output in the two open source models that do not support function calling. Since the",https://aclanthology.org/2025.findings-acl.1113/,https://aclanthology.org/2025.findings-acl.1113.pdf,36,"/scholar?cites=16208766196816995825&as_sdt=5,33&sciodt=0,33&hl=en"
Toolqa: A dataset for llm question answering with external tools,Y Zhuang; Y Yu; K Wang; H Sun,2023,Advances in Neural …,"Such tool-level demonstrations provide a concise tutorial to the LLMs for tool use, covering  all tool uses with the LLM context limit. Details about the demonstrations and our prompts are",https://proceedings.neurips.cc/paper_files/paper/2023/hash/9cb2a7495900f8b602cb10159246a016-Abstract-Datasets_and_Benchmarks.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/9cb2a7495900f8b602cb10159246a016-Paper-Datasets_and_Benchmarks.pdf,430,"/scholar?cites=2694605361330155618&as_sdt=5,33&sciodt=0,33&hl=en"
Self Knowledge-Tracing for Tool Use (SKT-Tool): Helping LLM Agents Understand Their Capabilities in Tool Use,J Vigel; R Cai; E Chen; A Neema; A Liao,2025,The Sixth Workshop …,"This can result in redundant API calls, leading to extra computation and even possible  API  call costs money, thus substantially reducing the usefulness of tool-augmented LLM Agents in",https://aclanthology.org/2025.insights-1.14/,https://aclanthology.org/2025.insights-1.14.pdf,0,
Agentbank: Towards generalized llm agents via fine-tuning on 50000+ interaction trajectories,Y Song; W Xiong; X Zhao; D Zhu; W Wu,2024,Findings of the …,"Given an agent task described by the instruction u, an LLM agent generates an action a1  based  2023), we exploit GPT as a style transfer tool to transform reasoning process into agent",https://aclanthology.org/2024.findings-emnlp.116/,https://aclanthology.org/2024.findings-emnlp.116.pdf,40,"/scholar?cites=298669497489984819&as_sdt=5,33&sciodt=0,33&hl=en"
Agent-as-tool: A study on the hierarchical decision making with reinforcement learning,Y Zhang,2025,arXiv preprint arXiv:2507.01489,"In our Agent-as-tool method, we employed the agent as a tool instead of calling the  The  Planner is a language model agent responsible for high-level reasoning and tool invocation",https://arxiv.org/abs/2507.01489,https://arxiv.org/pdf/2507.01489,6,"/scholar?cites=1331040072969555892&as_sdt=5,33&sciodt=0,33&hl=en"
