title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
LLM-driven multi-agent architectures for intelligent self-organizing networks,A Qayyum; A Albaseer; J Qadir; A Al-Fuqaha,2025,IEEE …,"4 illustrates an actual example of our evaluation, showing how LLM agents collaboratively  analyze a moderate complexity network flow. After CCA classifies the flow as moderately",https://ieeexplore.ieee.org/abstract/document/11169757/,https://ieeexplore.ieee.org/iel8/65/7593428/11169757.pdf,6,"/scholar?cites=8142465052000111515&as_sdt=5,33&sciodt=0,33&hl=en"
Training LLM-Based Agents with Synthetic Self-Reflected Trajectories and Partial Masking,Y Chen; B Xu; X Wang; Y Zhang; Z Mao,2025,arXiv preprint arXiv:2505.20023,"LLM, enabling it to acquire fundamental agent task knowledge and instruction-following  capabilities. By minimizing the following loss function, we obtain the base LLM agent  LLM agent",https://arxiv.org/abs/2505.20023,https://arxiv.org/pdf/2505.20023,4,"/scholar?cites=9092554696197160844&as_sdt=5,33&sciodt=0,33&hl=en"
Gptswarm: Language agents as optimizable graphs,M Zhuge; W Wang; L Kirsch; F Faccio,2024,… on Machine Learning,"We unify these approaches by describing LLM-based agents as computational graphs.  The nodes implement functions to process multimodal data or query LLMs, and the edges",https://openreview.net/forum?id=uTC9AFXIhg,https://openreview.net/pdf?id=uTC9AFXIhg,222,"/scholar?cites=4269456490681308104&as_sdt=5,33&sciodt=0,33&hl=en"
Attention Mechanism for LLM-based Agents Dynamic Diffusion under Information Asymmetry,Y Zhang; Y Wu; W Hua; X Lu; X Hu,2025,arXiv preprint arXiv:2502.13160,LLM lacks perception of social relationships. Another finding focuses on how the LLM agent   We observe LLM remains a low relationship perception frequency in different asymmetry,https://arxiv.org/abs/2502.13160,https://arxiv.org/pdf/2502.13160,2,"/scholar?cites=1184801332038902030&as_sdt=5,33&sciodt=0,33&hl=en"
LLM agents as 6G orchestrator: A paradigm for task-oriented physical-layer automation,Z Xiao; C Ye; Y Hu; H Yuan; Y Huang,2024,2024 IEEE …,"We consider a typical scenario in which the LLM agent is deployed at the base station to   1, the 6G LLM agents system is mainly composed of four parts: the LLM, multi-source",https://ieeexplore.ieee.org/abstract/document/11101226/,https://arxiv.org/pdf/2410.03688,13,"/scholar?cites=9922714067663767645&as_sdt=5,33&sciodt=0,33&hl=en"
Bases: Large-scale web search user simulation with large language model based agents,R Ren; P Qiu; Y Qu; J Liu; WX Zhao; H Wu,2024,Findings of the …,"), while the core focus of our study is to demonstrate that LLM agents can be good web  search user simulators. We consider the optimization of user profile settings as future work.",https://aclanthology.org/2024.findings-emnlp.50/,https://aclanthology.org/2024.findings-emnlp.50.pdf,33,"/scholar?cites=6703216506698984682&as_sdt=5,33&sciodt=0,33&hl=en"
Scaling large language model-based multi-agent collaboration,C Qian; Z Xie; Y Wang; W Liu; K Zhu; H Xia,2024,arXiv preprint arXiv …,"have revealed that multi-agent collaboration often surpasses each individual through  agents  can yield similar benefits. Technically, we utilize directed acyclic graphs to organize agents",https://arxiv.org/abs/2406.07155,https://arxiv.org/pdf/2406.07155?,176,"/scholar?cites=9698518956329935677&as_sdt=5,33&sciodt=0,33&hl=en"
SmartControl: Interactive PID controller design powered by LLM agents and control system expertise,K Tohma; Hİ Okur; H Gürsoy-Demir; MN Aydın,2025,SoftwareX,"by the novel integration of Large Language Model (LLM) agents and control system expertise.   The result evaluation module analyses performance data via an LLM agent, providing",https://www.sciencedirect.com/science/article/pii/S235271102500161X,https://www.sciencedirect.com/science/article/pii/S235271102500161X,8,"/scholar?cites=2726309783088452731&as_sdt=5,33&sciodt=0,33&hl=en"
Agentic reasoning: Reasoning llms with tools for the deep research,J Wu; J Zhu; Y Liu,2025,arXiv preprint arXiv:2502.04644,"across multiple LLM-based agents improves efficiency LLM tools like pure search engine  or code compiler, we delegate these tasks to specialized LLM-Based Agents, like a coding LLM",https://i-newcar.com/uploads/allimg/20250221/2-250221164PCR.pdf,https://i-newcar.com/uploads/allimg/20250221/2-250221164PCR.pdf,77,"/scholar?cites=2788423667581414976&as_sdt=5,33&sciodt=0,33&hl=en"
Genartist: Multimodal llm as an agent for unified image generation and editing,Z Wang; A Li; Z Li; X Liu,2024,Advances in Neural Information …,"language model (MLLM) as an AI agent, which acts as an ""artist"" and ""draws"" images according  to user instructions. Specifically, in response to user instructions, the agent  agent are:",https://proceedings.neurips.cc/paper_files/paper/2024/hash/e7c786024ca718f2487712bfe9f51030-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/e7c786024ca718f2487712bfe9f51030-Paper-Conference.pdf,110,"/scholar?cites=13440261956858966202&as_sdt=5,33&sciodt=0,33&hl=en"
