title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Value of Information: A Framework for Human-Agent Communication,YR Dong; T Hu; Z Hui; C Zhang; I Vulić; A Bobu,2026.0,arXiv preprint arXiv …,the adaptive communication problem in human-agent interaction from a  LLM Agent  Paradigm. Our work is situated within the broader context of developing autonomous LLM agents,https://arxiv.org/abs/2601.06407,https://arxiv.org/pdf/2601.06407,2,"/scholar?cites=13776426145263899909&as_sdt=5,33&sciodt=0,33&hl=en",Value of Information: A Framework for Human-Agent Communication,,,,skipped
Koma: Knowledge-driven multi-agent framework for autonomous driving with large language models,K Jiang; X Cai; Z Cui; A Li; Y Ren; H Yu,2024.0,IEEE Transactions …,", the multi-agent interaction module enables LLM agents to  The multi-step planning module  enables LLM agents to  module can evaluate and improve agent behavior with the aim of",https://ieeexplore.ieee.org/abstract/document/10745878/,https://arxiv.org/pdf/2407.14239?,44,"/scholar?cites=10246806095143255398&as_sdt=5,33&sciodt=0,33&hl=en",Koma: Knowledge-driven multi-agent framework for autonomous driving with large language models,,,,skipped
Prompt infection: Llm-to-llm prompt injection within multi-agent systems,D Lee; M Tiwari,2024.0,arXiv preprint arXiv:2410.07283,"architectures, but we believe Prompt Infection likely applies to more complex systems, as  self-replication allows the infection to spread wherever communication between agents exists.",https://arxiv.org/abs/2410.07283,https://arxiv.org/pdf/2410.07283?,103,"/scholar?cites=3595357542329024359&as_sdt=5,33&sciodt=0,33&hl=en",Prompt infection: Llm-to-llm prompt injection within multi-agent systems,,,,skipped
Executable code actions elicit better llm agents,X Wang; Y Chen; L Yuan; Y Zhang; Y Li,2024.0,Forty-first International …,"define interaction as the information exchange between the agent and an external entity (user  or environment). For each turn of interaction, the agent  3, we show how an LLM agent can",https://openreview.net/forum?id=jJ9BoXAfFa&trk=publi,https://openreview.net/pdf?id=jJ9BoXAfFa,463,"/scholar?cites=14417798504674200556&as_sdt=5,33&sciodt=0,33&hl=en",Executable code actions elicit better llm agents,"Large Language Model (LLM) agents, capable of performing a broad range of actions, such as invoking tools and controlling robots, show great potential in tackling real-world challenges. LLM agents are typically prompted to produce actions by generating JSON or text in a pre-defined format, which is usually limited by constrained action space (e.g., the scope of pre-defined tools) and restricted flexibility (e.g., inability to compose multiple tools). This work proposes to use executable Python code to consolidate LLM agents' actions into a unified action space (CodeAct). Integrated with a Python interpreter, CodeAct can execute code actions and dynamically revise prior actions or emit new actions upon new observations through multi-turn interactions. Our extensive analysis of 17 LLMs on API-Bank and a newly curated benchmark shows that CodeAct outperforms widely used alternatives (up to 20% higher success rate). The encouraging performance of CodeAct motivates us to build an open-source LLM agent that interacts with environments by executing interpretable code and collaborates with users using natural language. To this end, we collect an instruction-tuning dataset CodeActInstruct that consists of 7k multi-turn interactions using CodeAct. We show that it can be used with existing data to improve models in agent-oriented tasks without compromising their general capability. CodeActAgent, finetuned from Llama2 and Mistral, is integrated with Python interpreter and uniquely tailored to perform sophisticated tasks (e.g., model training) using existing libraries and autonomously self-debug.",10.48550/arXiv.2402.01030,SemanticScholar,found
Llm-augmented agent-based modelling for social simulations: Challenges and opportunities,Ö Gürcan,2024.0,HHAI 2024: Hybrid Human AI Systems for the …,to improve communication and coordination among agents. By  ABM tool augmented by LLM  should support the organization- defining agents in social simulations as social agents that,https://journals.sagepub.com/doi/pdf/10.3233/FAIA386#page=155,https://journals.sagepub.com/doi/pdf/10.3233/FAIA240190,76,"/scholar?cites=14812322946716951635&as_sdt=5,33&sciodt=0,33&hl=en",Llm-augmented agent-based modelling for social simulations: Challenges and opportunities,"As large language models (LLMs) continue to make significant strides, their better integration into agent-based simulations offers a transformational potential for understanding complex social systems. However, such integration is not trivial and poses numerous challenges. Based on this observation, in this paper, we explore architectures and methods to systematically develop LLM-augmented social simulations and discuss potential research directions in this field. We conclude that integrating LLMs with agent-based simulations offers a powerful toolset for researchers and scientists, allowing for more nuanced, realistic, and comprehensive models of complex systems and human behaviours.",10.3233/faia240190,Crossref,found
"Multi-Agent Reinforcement Learning with LLMs: A Comprehensive Review of Communication, Coordination, and Policy Adaptation",DH Arachchige; SM Peiris,2025.0,2025 3rd International Conference …,"For example, works like ReAct [15], SayCan [16], and HuggingGPT demonstrate how LLMbased  agents can generate actions or API calls that extend beyond mere message",https://ieeexplore.ieee.org/abstract/document/11258284/,https://ieeexplore.ieee.org/iel8/11257867/11257868/11258284.pdf,0,,"Multi-Agent Reinforcement Learning with LLMs: A Comprehensive Review of Communication, Coordination, and Policy Adaptation",,,,skipped
Survey on evaluation of llm-based agents,A Yehudai; L Eden; A Li; G Uziel; Y Zhao,2025.0,arXiv preprint arXiv …,"”, “AI Agents”, “Agents,” and “Agentic Systems”. We adopt the terms “LLM-based agents” and  “LLM agents”  2024) introduces a dynamic interaction model in which agents must adapt to",https://arxiv.org/abs/2503.16416,https://arxiv.org/pdf/2503.16416,140,"/scholar?cites=15426870596102221307&as_sdt=5,33&sciodt=0,33&hl=en",Survey on evaluation of llm-based agents,,,,skipped
"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",B Ni; MJ Buehler,2024.0,Extreme Mechanics Letters,"of agents with enhanced division of labor among planning, formulating, coding, executing  and criticizing the process and results. The agents  among diverse agents, opening novel",https://www.sciencedirect.com/science/article/pii/S2352431624000117,https://www.sciencedirect.com/science/article/am/pii/S2352431624000117,146,"/scholar?cites=13635405768788113747&as_sdt=5,33&sciodt=0,33&hl=en","MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",,,,skipped
Nli4volvis: Natural language interaction for volume visualization via llm multi-agents and editable 3d gaussian splatting,K Ai; K Tang; C Wang,2025.0,IEEE Transactions on Visualization and …,-level interaction. To  a multi-agent large language model architecture equipped with  extensive function-calling tools to interpret user intents and execute visualization tasks. The agents,https://ieeexplore.ieee.org/abstract/document/11264350/,https://academicweb.nd.edu/~cwang11/papers/vis25-nli4volvis.pdf,9,"/scholar?cites=4229021072604948028&as_sdt=5,33&sciodt=0,33&hl=en",Nli4volvis: Natural language interaction for volume visualization via llm multi-agents and editable 3d gaussian splatting,,,,skipped
Efficient Management of LLM-Based Coaching Agents' Reasoning While Maintaining Interaction Quality and Speed,A Göldi; R Rietsche; L Ungar,2025.0,Proceedings of the 2025 CHI Conference …,"To do so, LLM-based agents need to reason before  However, the pursuit of objectives  beyond interaction quality may  This study investigates how an LLM-based coaching agent can",https://dl.acm.org/doi/abs/10.1145/3706598.3713606,https://dl.acm.org/doi/full/10.1145/3706598.3713606,6,"/scholar?cites=3574039788989913160&as_sdt=5,33&sciodt=0,33&hl=en",Efficient Management of LLM-Based Coaching Agents' Reasoning While Maintaining Interaction Quality and Speed,,,,skipped
Agenttuning: Enabling generalized agent abilities for llms,A Zeng; M Liu; R Lu; B Wang; X Liu,2024.0,Findings of the …,"the agent abilities of LLMs while maintaining their general LLM capabilities. We construct  AgentInstruct, a lightweight instruction-tuning dataset containing high-quality interaction",https://aclanthology.org/2024.findings-acl.181/,https://aclanthology.org/2024.findings-acl.181.pdf,300,"/scholar?cites=1624007356987177412&as_sdt=5,33&sciodt=0,33&hl=en",Agenttuning: Enabling generalized agent abilities for llms,,,,skipped
Balancing autonomy and alignment: A multi-dimensional taxonomy for autonomous LLM-powered multi-agent architectures,T Händler,2023.0,arXiv preprint arXiv:2310.03659,"ized intelligent agents. Equipped with LLM-powered reasoning capabilities, these agents   significantly to our understanding of communication protocols and agent constellation within",https://arxiv.org/abs/2310.03659,https://arxiv.org/pdf/2310.03659,60,"/scholar?cites=14274389343103175589&as_sdt=5,33&sciodt=0,33&hl=en",Balancing autonomy and alignment: A multi-dimensional taxonomy for autonomous LLM-powered multi-agent architectures,,,,skipped
CommCP: Efficient Multi-Agent Coordination via LLM-Based Communication with Conformal Prediction,X Zhang; Z Wang; Z Li; J Yao; J Li,2026.0,arXiv preprint arXiv:2602.06038,natural language as a novel multi-agent multi-task embodied  a novel LLM-based decentralized  communication framework  to other agents and improve communication reliability and,https://arxiv.org/abs/2602.06038,https://arxiv.org/pdf/2602.06038,0,,CommCP: Efficient Multi-Agent Coordination via LLM-Based Communication with Conformal Prediction,,,,skipped
Exploration of llm multi-agent application implementation based on langgraph+ crewai,Z Duan; J Wang,2024.0,arXiv preprint arXiv:2411.18241,"LLM  agents that support advanced human-computer interaction and memory capabilities.  The flexible framework of LangGraph supports various control flows—single-agent, multi-agent",https://arxiv.org/abs/2411.18241,https://arxiv.org/pdf/2411.18241,50,"/scholar?cites=4414536945564259235&as_sdt=5,33&sciodt=0,33&hl=en",Exploration of llm multi-agent application implementation based on langgraph+ crewai,"With the rapid development of large model technology, the application of agent technology in various fields is becoming increasingly widespread, profoundly changing people’s work and lifestyles. In complex and dynamic systems, multi-agents achieve complex tasks that are difficult for a single agent to complete through division of labor and collaboration among agents. This paper discusses the integrated application of LangGraph and CrewAI. LangGraph improves the efficiency of information transmission through graph architecture, while CrewAI enhances team collaboration capabilities and system performance through intelligent task allocation and resource management. The main research contents of this paper are: (1) designing the architecture of agents based on LangGraph for precise control; (2) enhancing the capabilities of agents based on CrewAI to complete a variety of tasks. This study aims to delve into the application of LangGraph and CrewAI in multi-agent systems, providing new perspectives for the future development of agent technology, and promoting technological progress and application innovation in the field of large model intelligent agents.",10.32388/r27sw4,Crossref,found
Simulating social behavior of LLM-based autonomous negotiator agents in a game-theoretical framework using multi-agent systems,A Mouri Zadeh Khaki; A Choi,2025.0,… –Computer Interaction,"agent systems, including negotiation tasks—a core aspect of commerce. This paper evaluates  LLM-based autonomous negotiator agents ( We simulate interactions between agents",https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2495117,,7,"/scholar?cites=11546001723382690139&as_sdt=5,33&sciodt=0,33&hl=en",Simulating social behavior of LLM-based autonomous negotiator agents in a game-theoretical framework using multi-agent systems,,,,skipped
